speciesName	ln(snoutVentLength)	ln(relativeHindlimbLength)	ln(numScalesAcrossSnout)
frenatus	4.96284463	-1.212371612	2.48490665
fugitivus	3.555348061	-1.235721503	2.079441542
fungosus	3.871201011	-1.437587656	1.945910149
fuscoauratus	3.828641396	-1.281388494	2.48490665
gadovii	4.382026635	-1.188509068	2.397895273
gaigei	3.970291914	-1.237874356	2.388762789
garmani	4.875197323	-1.337159563	2.197224577
garridoi	3.737669618	-1.609437912	1.791759469
gemmosus	4.189654742	-1.253907461	2.708050201
ginaelisae	4.718498871	-1.386294361	1.945910149
gingivinus	4.276666119	-1.254773019	1.945910149
gorgonae	4.127134385	-1.287354413	2.397895273
gracilipes 	4.060443011	-1.115971096	2.564949357
grahami	4.317488114	-1.313575108	2.397895273
granuliceps	3.850147602	-1.173982091	2.890371758
griseus	4.912654886	-1.275809383	2.197224577
gruuo	3.784189634	-1.318360251	2.197224577
guafe	NA	NA	NA
guamuhaha	5.087596335	-1.565421027	1.791759469
guazuma	3.850147602	-1.704748092	1.791759469
gundlachi	4.276666119	-1.171962312	2.302585093
haetianus	4.394449155	-1.198206726	1.791759469
hendersoni	3.951243719	-1.329368424	1.945910149
heteropholidotus	3.931825633	-1.237874356	1.609437912
heterodermus	4.33073334	-1.594122188	1.609437912
hobartsmithi	3.871201011	-1.171182982	2.302585093
homolechis	4.248495242	-1.301497824	1.945910149
huilae	4.382026635	-1.389107302	2.197224577
humilis	3.784189634	-1.166831621	2.197224577
ibanezi	4.394449155	-1.139434283	2.397895273
ignigularis	4.007333185	-1.187443502	1.386294361
imias	4.17438727	-1.171182982	2.079441542
inderenae	NA	NA	NA
inexpectatus	3.610917913	-1.242150913	2.079441542
insignis	5.056245805	-1.386294361	2.302585093
insolitus	3.850147602	-1.542031084	1.386294361
isolepis	3.951243719	-1.529302194	1.386294361
jacare	4.290459441	-1.427865649	1.945910149
johnmeyeri	4.290459441	-1.108662625	2.140066163
juangundlanchi	3.583518938	-1.392194083	1.945910149
jubar	4.127134385	-1.23537422	1.791759469
kahouannensis	4.290459441	-1.258781041	1.609437912
kemptoni	3.970291914	-1.345071645	2.197224577
koopmani	3.663561646	-1.272117532	2.302585093
kreutzi	NA	NA	NA
krugi	4.007333185	-1.241014076	1.791759469
kunayalae	4.691347882	-1.290771501	2.708050201
lamari	NA	NA	NA
latifrons	4.890349128	-1.155250694	2.564949357
laevis	NA	NA	NA
laeviventris	3.828641396	-1.415349281	2.079441542
leachii	4.727387819	-1.257382302	1.791759469
lemurinus	4.369447852	-1.201423733	2.197224577
limifrons	3.871201011	-1.1200714	2.564949357
limon	NA	NA	NA
lineatopus	4.290459441	-1.232615268	2.197224577
lineatus	4.290459441	-1.264867399	1.945910149
liogaster	3.988984047	-1.26562413	1.791759469
lionotus	4.343805422	-1.16406726	2.397895273
litoralis	3.688879454	-1.473305738	1.609437912
lividus	4.406719247	-1.297266346	1.791759469
longiceps	4.418840608	-1.401273475	1.945910149
longitibialis	4.276666119	-1.12654572	2.079441542
loveridgei	4.770684624	-1.201645557	2.48490665
loysianus	3.713572067	-1.450471385	1.609437912
luciae	4.510859507	-1.354360102	2.079441542
lucius	4.234106505	-1.158519876	1.945910149
luteogularis	5.252273428	-1.403705401	1.386294361
luteosignifer	4.007333185	-1.311383906	1.791759469
